我,送,你,那,里	C-PN,C-VV,C-PN,M-PN,C-PN
但,没,有,机,会,讨,论,我,们,互,相,生,活,的,情,况	C-AD,C-VE,C-VE,C-NN,C-NN,C-VV,C-VV,C-PN,C-PN,S-AD,C-AD,C-VV,C-VV,C-DEC,C-NN,C-NN
但,是,因,为,我,这,年,去,台,湾,没,有,去,找,她	C-AD,C-AD,C-P,C-P,C-PN,S-DT,C-M,C-VV,C-NR,C-NR,C-AD,C-AD,C-VV,C-VV,C-PN
但,是,特,别,的,台,湾,餐,馆,只,有,中,文,写,字	C-AD,C-AD,C-VA,C-VA,C-DEC,C-NR,C-NR,C-NN,C-NN,C-AD,C-VE,S-NN,C-NN,C-NN,C-NN
你,来,台,湾,的,原,因,是,念,书	C-PN,C-VV,C-NR,C-NR,C-DEC,S-NN,C-NN,C-VC,C-VV,C-VV
你,表,面,上,似,乎,是,爱,干,净,的,同,学	C-PN,C-AD,C-AD,C-AD,C-AD,C-AD,C-VC,C-VV,C-VA,C-VA,C-DEC,S-NN,C-NN
你,这,样,会,打,扰,我,们,的,隔,壁	C-PN,C-AD,C-AD,C-VV,C-VV,C-VV,C-PN,C-PN,C-DEG,S-NN,C-NN
你,觉,得,这,个,打,算,怎,么,样	C-PN,C-VV,C-VV,C-DT,C-DT,S-NN,C-NN,C-VA,C-VA,C-VA
吴,先,生,是,修,理,脚,踏,车,的,拿,手	C-NR,C-NN,C-NN,C-VC,C-VV,C-VV,C-NN,C-NN,C-NN,C-DEC,S-NN,C-NN
希,望,以,后,自,己,也,能,遇,到,好,的,情,况	C-VV,C-VV,C-LC,C-LC,C-PN,C-PN,C-AD,C-VV,C-VV,C-VV,C-VA,C-DEC,S-NN,C-NN
我,不,知,道,你,的,未,来,会,怎,么,样,子	C-PN,C-AD,C-VV,C-VV,C-PN,C-DEG,C-NT,C-NT,C-VV,C-AD,C-AD,C-NN,R-NN
我,不,敢,相,信,某,件,儿,童,时,做,的,动,作	C-PN,C-AD,C-VV,C-VV,C-VV,C-JJ,C-JJ,C-NN,C-NN,C-LC,C-VV,C-DEC,S-NN,C-NN
我,先,去,那,边,的,东,南,的,地,方	C-PN,C-AD,C-VV,C-PN,C-PN,C-DEG,S-NN,C-NN,C-DEG,C-NN,C-NN
我,自,己,持,有,驾,车,证,明	C-PN,C-PN,C-PN,C-VV,C-VV,S-VV,C-VV,C-VV,C-VV
我,把,这,件,事,情,当,在,台,湾,生,活,中,一,个,很,好,的,记,忆	C-PN,C-BA,C-DT,C-M,C-NN,C-NN,C-VV,C-P,C-NR,C-NR,C-NN,C-NN,C-LC,C-AD,C-AD,C-AD,C-VA,C-DEC,S-NN,C-NN
我,的,日,文,已,退,步,到,这,个,境,界,了	C-PN,C-DEG,C-NN,C-NN,C-AD,C-VV,C-VV,C-VV,C-DT,C-DT,S-NN,C-NN,C-SP
我,的,新,友	C-PN,C-DEG,C-JJ,S-NN
我,知,道,你,在,这,里,还,算,新	C-PN,C-VV,C-VV,C-PN,C-P,C-PN,C-PN,C-AD,C-VV,C-VA
我,们,发,现,你,的,衣,上,出,现,跳,蚤	C-PN,C-PN,C-VV,C-VV,C-PN,C-DEG,S-NN,C-LC,C-VV,C-VV,C-NN,C-NN
我,家,搬,到,别,的,市	C-NN,C-NN,C-VV,C-VV,C-DT,C-DT,S-NN
我,真,希,望,俄,罗,斯,服,务,的,情,况,迟,早,会,改,变	C-PN,C-AD,C-VV,C-VV,C-NR,C-NR,C-NR,C-VV,C-VV,C-DEC,C-NN,C-NN,S-AD,C-AD,C-VV,C-VV,C-VV
我,这,夏,天,放,假,的,时,候,去,欧,洲,了	C-PN,S-DT,C-NT,C-NT,C-VV,C-VV,C-DEC,C-NN,C-NN,C-VV,C-NR,C-NR,C-SP
我,最,近,帮,我,的,隔,壁,打,扫,他,的,房,子	C-PN,C-NT,C-NT,C-VV,C-PN,C-DEG,S-NN,C-NN,C-VV,C-VV,C-PN,C-DEG,C-NN,C-NN
我,就,告,诉,她,我,想,要,帮,你,和,爸,爸,享,受,你,们,的,辈,子	C-PN,C-AD,C-VV,C-VV,C-PN,C-PN,C-VV,C-VV,C-VV,C-PN,C-P,C-NN,C-NN,C-VV,C-VV,C-PN,C-PN,M-DEG,C-NN,C-NN
我,就,闻,得,到,你,身,体,的,臭,味,道	C-PN,C-AD,C-VV,C-VV,C-VV,C-PN,C-NN,C-NN,C-DEG,C-NN,S-NN,C-NN
我,替,你,介,绍,台,北,所,有,的,特,点	C-PN,C-P,C-PN,C-VV,C-VV,C-NR,C-NR,C-DT,C-DT,C-DEG,S-NN,C-NN
我,觉,得,没,有,字,可,以,表,现,我,对,妈,妈,的,感,谢	C-PN,C-VV,C-VV,C-VE,C-VE,S-NN,C-VV,C-VV,C-VV,C-VV,C-PN,C-P,C-NN,C-NN,C-DEG,C-NN,C-NN
我,觉,得,最,近,我,们,寝,室,友,情,之,间,的,关,系,不,太,好	C-PN,C-VV,C-VV,C-NT,C-NT,C-PN,C-PN,C-NN,C-NN,S-NN,C-NN,C-LC,C-LC,C-DEG,C-NN,C-NN,C-AD,C-AD,C-VA
每,一,个,人,都,有,他,们,的,好,处	C-CD,C-CD,C-CD,C-NN,C-AD,C-VE,C-PN,C-PN,C-DEG,S-NN,C-NN
见,面,的,时,候,和,地,方,就,比,较,清,楚	C-VV,C-VV,C-DEC,S-NN,C-NN,C-CC,C-NN,C-NN,C-AD,C-AD,C-AD,C-VA,C-VA
所,以,你,应,该,打,扫,我,们,的,室	C-AD,C-AD,C-PN,C-VV,C-VV,C-VV,C-VV,C-PN,C-PN,C-DEG,S-NN
放,学,在,等,公,车,的,期,间	C-VV,C-VV,C-P,C-ETC,C-NN,C-NN,C-DEG,S-NN,C-NN
按,时,操,课	S-AD,C-AD,C-VV,C-VV
晚,再,逛,夜,市	C-VA,M-AD,C-VV,C-NN,C-NN
现,今,教,导,小,朋,友,的,方,式,不,再,像,往,年,一,样	C-NT,C-NT,C-VV,C-VV,C-NN,C-NN,C-NN,C-DEC,C-NN,C-NN,C-AD,C-AD,C-P,S-NT,C-NT,C-VA,C-VA
然,后,我,跟,我,的,同,班,马,上,给,他,们,我,们,从,学,校,带,来,的,东,西	C-AD,C-AD,C-PN,C-P,C-PN,C-DEG,S-VV,C-VV,C-AD,C-AD,C-P,C-PN,C-PN,C-PN,C-PN,C-P,C-NN,C-NN,C-VV,C-VV,C-DEC,C-NN,C-NN
然,后,每,天,晚,上,我,跟,他,一,起,做,料,理	C-AD,C-AD,C-AD,C-AD,C-NT,C-NT,C-PN,C-P,C-PN,C-AD,C-AD,C-VV,S-NN,C-NN
然,后,从,公,司,到,等,公,车,的,地	C-AD,C-AD,C-P,C-NN,C-NN,C-P,C-ETC,C-NN,C-NN,C-DEG,S-NN
想,起,我,过,去,的,事,也,是,跟,她,一,样	C-VV,C-VV,C-PN,C-NT,C-NT,C-DEG,S-NN,C-AD,C-VC,C-P,C-PN,C-VA,C-VA
请,你,告,诉,我,你,的,放,假,过,得,怎,么,样	C-VV,C-PN,C-VV,C-VV,C-NN,C-NN,C-DEC,S-VV,C-VV,C-VV,C-DER,C-VA,C-VA,C-VA
请,你,每,天,整,理,自,己,床,布	C-VV,C-PN,C-AD,C-AD,C-VV,C-VV,C-PN,C-PN,S-NN,C-NN
请,确,定,马,桶,、,洗,面,台,、,地,板,等,都,恢,复,原,来,的,干,净,状,态	C-VV,C-VV,C-VV,C-NN,C-NN,C-PU,S-VV,C-VV,C-NR,C-PU,C-NN,C-NN,C-ETC,C-AD,C-VV,C-VV,C-JJ,C-JJ,C-DEG,C-JJ,C-JJ,C-NN,C-NN
我,的,朋,友,说,Ａ,ｒ,ｉ,ｚ,ｏ,ｎ,ａ,最,好,处,是,他,们,的,日,落	C-PN,C-DEG,C-NN,C-NN,C-VV,C-NR,C-NR,C-NR,C-NR,C-NR,C-NR,C-NR,C-AD,C-NN,S-NN,C-VC,C-PN,C-PN,C-DEG,C-NN,C-NN
我,跟,同,学,一,起,住,在,房,租	C-PN,C-P,C-NN,C-NN,C-AD,C-AD,C-VV,C-P,S-NN,C-NN
所,以,我,知,道,这,样,的,时,候,用,「,Ｈ,Ａ,」	C-AD,C-AD,C-PN,C-VV,C-VV,S-PN,C-PN,C-DEG,C-NN,C-NN,C-P,C-PU,C-NN,C-NN,C-PU
三,番,二,次,地,询,问,了,这,个,客,户	S-CD,C-M,C-CD,C-M,C-DEV,C-VV,C-VV,C-AS,C-PN,C-PN,C-NN,C-NN
也,会,让,别,的,室,友,对,这,个,事,件,感,到,困,扰	C-AD,C-VV,C-VV,C-DT,C-DT,C-NN,C-NN,S-P,C-DT,C-DT,C-NN,C-NN,C-VV,C-VV,C-NN,C-NN
他,怎,么,能,给,客,人,这,样,说	C-PN,C-AD,C-AD,C-VV,S-P,C-NN,C-NN,C-AD,C-AD,C-VV
他,为,了,一,个,重,要,的,客,户,设,计,了,他,们,家,的,装,潢,布,置	C-PN,S-P,C-P,C-CD,C-CD,C-JJ,C-JJ,C-DEG,C-NN,C-NN,C-VV,C-VV,C-AS,C-PN,C-PN,C-NN,C-DEG,C-NN,C-NN,C-VV,C-VV
她,去,工,作,都,是,为,她,的,孩,子,的,学,习	C-PN,C-VV,C-NN,C-NN,C-AD,C-VC,S-P,C-PN,C-DEG,C-NN,C-NN,C-DEG,C-NN,C-NN
如,果,不,太,清,楚,的,话,请,给,我,联,络	C-CS,C-CS,C-AD,C-AD,C-VA,C-VA,C-DEC,C-NN,C-VV,S-VV,C-PN,C-VV,C-VV
但,我,觉,得,每,次,发,生,事,情,的,原,因,大,部,分,都,是,由,你,的,个,性	C-AD,C-PN,C-VV,C-VV,C-AD,C-AD,C-VV,C-VV,C-NN,C-NN,C-DEC,C-NN,C-NN,C-CD,C-CD,C-CD,C-AD,C-VC,M-P,C-PN,C-DEG,C-NN,C-NN
你,对,我,们,说,应,该,考,虑,一,下	C-PN,S-P,C-PN,C-PN,C-VV,C-VV,C-VV,C-VV,C-VV,C-CD,C-M
我,打,电,话,给,公,司,给,他,们,解,释,我,的,问,题	C-PN,C-VV,C-VV,C-VV,C-P,C-NN,C-NN,S-P,C-PN,C-PN,C-VV,C-VV,C-PN,C-DEG,C-NN,C-NN
我,因,找,到,适,合,的,班,车,资,料,而,检,查,网,路	C-PN,S-P,C-VV,C-VV,C-VV,C-VV,C-DEC,C-NN,C-NN,C-NN,C-NN,C-MSP,C-VV,C-VV,C-NN,C-NN
我,为,这,个,目,标,很,努,力	C-PN,S-P,C-DT,C-DT,C-NN,C-NN,C-AD,C-VA,C-VA
我,就,记,得,青,少,年,时,他,与,功,课,一,点,兴,趣,都,没,有	C-PN,C-AD,C-VV,C-VV,C-NN,C-NN,C-NN,C-LC,C-PN,S-CC,C-NN,C-NN,C-CD,C-CD,C-NN,C-NN,C-AD,C-VE,C-VE
我,就,给,你,说,我,安,排,了,什,么,活,动	C-PN,C-AD,S-P,C-PN,C-VV,C-PN,C-VV,C-VV,C-AS,C-PN,C-PN,C-NN,C-NN
我,想,告,诉,老,师,我,跟,晚,会,表,演,有,关,的,看,法,是,什,么	C-PN,C-VV,C-VV,C-VV,C-NN,C-NN,C-PN,S-P,C-NN,C-NN,C-VV,C-VV,C-JJ,C-JJ,C-DEG,C-NN,C-NN,C-VC,C-PN,C-PN
我,觉,得,你,会,跟,我,的,选,择,很,满,意	C-PN,C-VV,C-VV,C-PN,C-VV,S-P,C-PN,C-DEG,C-NN,C-NN,C-AD,C-VA,C-VA
所,以,我,对,那,位,警,察,先,生,解,释,他,的,情,形	C-AD,C-AD,C-PN,S-P,C-PN,C-PN,C-NN,C-NN,C-NN,C-NN,C-VV,C-VV,C-PN,C-DEG,C-NN,C-NN
是,因,为,我,的,爸,爸,一,直,努,力,地,替,我,和,我,姊,妹,赚,钱,工,作	C-VC,C-P,C-P,C-PN,C-DEG,C-NN,C-NN,C-AD,C-AD,C-VA,C-VA,C-DEV,S-P,C-PN,C-CC,C-PN,C-NN,C-NN,C-VV,C-NN,C-NN,C-NN
为,了,她,住,不,到,六,个,月,就,习,惯,了,台,湾,的,生,活	S-P,C-P,C-PN,C-VV,C-AD,C-VV,C-CD,C-M,C-NN,C-AD,C-VV,C-VV,C-AS,C-NR,C-NR,C-DEG,C-NN,C-NN
音,乐,会,大,约,为,九,点,半,结,束	C-NN,C-NN,C-NN,C-AD,C-AD,S-P,C-NT,C-NT,C-NT,C-VV,C-VV
然,后,给,她,说,「,谢,谢,！,」	C-AD,C-AD,S-P,C-PN,C-VV,C-PU,C-VV,C-VV,C-PU,C-PU
妈,妈,就,会,常,常,帮,助,我,找,别,的,教,授,来,让,我,可,以,把,我,的,问,题,解,决	C-NN,C-NN,C-AD,C-VV,C-AD,C-AD,S-VV,C-VV,C-PN,C-VV,C-DT,C-DT,C-NN,C-NN,C-MSP,C-VV,C-PN,C-VV,C-VV,C-BA,C-PN,C-DEG,C-NN,C-NN,C-VV,C-VV
对,于,办,居,留,证,有,关,的,东,西,他,甚,么,都,不,知,道	C-P,C-P,C-VV,C-NN,C-NN,C-NN,C-JJ,C-JJ,C-DEG,C-NN,C-NN,C-PN,S-DT,C-DT,C-AD,C-AD,C-VV,C-VV
最,有,帮,助,我,的,人,是,我,的,妈,妈	C-AD,R-VE,C-NN,C-NN,C-PN,C-DEG,C-NN,C-VC,C-PN,C-DEG,C-NN,C-NN
不,知,道,怎,么,帮	C-AD,C-VV,C-VV,S-AD,C-AD,C-VV
什,么,种,生,活,才,好	S-DT,C-DT,C-M,C-NN,C-NN,C-AD,C-VA
因,为,他,不,知,道,这,么,报,名	C-P,C-P,C-PN,C-AD,C-VV,C-VV,S-AD,C-AD,C-VV,C-VV
你,最,近,怎,么	C-PN,C-NT,C-NT,S-AD,C-AD
开,始,慢,慢,地,教,她,这,么,弹,钢,琴	C-AD,C-AD,C-AD,C-AD,C-DEV,C-VV,C-PN,S-AD,C-AD,C-VV,C-NN,C-NN
人,写,给,我,的,是,我,朋,友,的,妹,妹,叫,王,菲	D-NN,C-VV,C-VV,C-PN,C-DEC,C-VC,C-PN,C-NN,C-NN,C-DEG,C-NN,C-NN,C-VV,C-NR,C-NR
大,部,分,小,孩,在,育,幼,院,的	C-CD,C-CD,C-CD,D-NN,C-NN,C-P,C-NN,C-NN,C-NN,C-SP
可,是,你,先,给,我,非,常,感,动,的,内,容,一,封,信	C-AD,C-AD,C-AD,C-AD,C-VV,C-PN,D-AD,C-AD,C-VV,C-VV,C-DEC,C-NN,C-NN,C-AD,C-VV,C-NN
可,能,对,别,人,来,说,你,的,帮,忙,会,帮,助,他,们,解,决,一,个,问,题,他,们,自,己,绝,对,不,会,解,决,的	C-AD,C-AD,C-P,C-NN,C-NN,C-LC,C-LC,C-PN,C-DEG,C-NN,C-NN,C-VV,C-VV,C-VV,C-PN,C-PN,C-VV,C-VV,C-CD,C-CD,D-NN,C-NN,C-PN,C-PN,C-PN,C-PN,C-AD,C-AD,C-AD,C-VV,C-VV,C-VV,C-SP
我,有,两,个,人,最,想,感,谢,的	C-PN,C-VE,C-CD,C-M,D-NN,C-AD,C-VV,C-VV,C-VV,C-SP
我,希,望,我,们,会,享,受,我,们,见,面,那,天,的	C-PN,C-VV,C-VV,C-PN,C-PN,C-VV,C-VV,C-VV,C-PN,C-PN,D-VV,C-VV,C-NT,C-NT,C-DEG
然,后,我,跟,我,的,同,学,马,上,给,他,们,东,西,从,我,们,的,学,校,带,来,的	C-AD,C-AD,C-PN,C-P,C-PN,C-DEG,C-NN,C-NN,C-AD,C-AD,C-P,C-PN,C-PN,D-NN,C-NN,C-P,C-PN,C-PN,C-DEG,C-NN,C-NN,C-VV,C-VV,C-SP
也,就,是,说,心,理,上,的,支,持,是,算,不,来,数,字	C-AD,C-AD,C-AD,C-AD,C-NN,C-NN,C-LC,C-DEG,C-NN,C-NN,C-VC,S-VV,C-AD,C-VV,C-NN,C-NN
也,帮,助,他,们,东,西,放,在,房,子,里,面	C-AD,C-VV,C-VV,C-PN,C-PN,M-NN,C-NN,C-VV,C-P,C-NN,C-NN,C-NN,C-NN
他,天,天,去,医,院,看,我,和,送,给,我,东,西	C-PN,C-AD,C-AD,C-VV,C-NN,C-NN,C-VV,C-PN,C-CC,D-VV,C-VV,C-PN,C-NN,C-NN
他,们,当,上,你,的,朋,友,就,把,你,的,幸,福,做,为,他,们,的,责,任	C-PN,C-PN,S-VV,C-VV,C-PN,C-DEG,C-NN,C-NN,C-AD,C-BA,C-PN,C-DEG,C-NN,C-NN,C-VV,C-VV,C-PN,C-PN,C-DEG,C-NN,C-NN
他,们,就,打,电,话,说,我,的,行,李,他,们,开,始,找,就,发,现	C-PN,C-PN,C-AD,C-VV,C-VV,C-VV,C-VV,C-PN,C-DEG,C-NN,C-NN,C-PN,C-PN,S-VV,C-VV,C-VV,C-AD,C-VV,C-VV
他,被,迷,路	C-PN,S-SB,C-VV,C-VV
可,是,有,很,少,的,车	C-AD,C-AD,S-VE,C-AD,C-CD,C-DEG,C-NN
合,格,了,交,换,学,生,以,后	S-VV,C-VV,C-AS,C-VV,C-VV,C-NN,C-NN,C-LC,C-LC
因,为,我,对,你,的,生,活,习,惯,担,心	C-P,C-P,C-PN,C-P,C-PN,C-DEG,C-NN,C-NN,C-NN,C-NN,M-VV,C-VV
好,像,你,睡,不,著	C-AD,C-AD,C-PN,S-VV,C-NN,C-NN
她,一,定,不,会,对,我,需,求,什,么	C-PN,C-AD,C-AD,C-AD,C-VV,C-P,C-PN,S-VV,C-VV,C-PN,C-PN
她,的,脸,被,受,伤,流,血	C-PN,C-DEG,C-NN,R-LB,C-VV,C-VV,C-VV,C-VV
如,果,不,认,识,这,首,歌,的,话,算,是,不,是,Ｇ,Ａ,Ｙ	C-CS,C-CS,C-AD,C-VV,C-VV,C-DT,C-M,C-NN,C-DEG,C-NN,S-VV,C-VV,C-AD,C-VC,C-NN,C-NN,C-NN
有,一,天,他,都,想,到,与,其,活,一,辈,子,得,无,聊	C-VE,C-CD,C-M,C-PN,C-AD,C-VV,C-VV,C-P,C-PN,D-VV,C-AD,C-AD,C-AD,C-VV,C-VA,C-VA
而,是,说,我,要,花,这,辈,子,在,教,育,界	C-AD,C-VC,C-VV,C-PN,C-VV,S-VV,C-DT,C-NN,C-NN,C-P,C-NN,C-NN,C-NN
你,常,常,吃,点,心,以,后,你,不,要,干,净,的,环,境	C-PN,C-AD,C-AD,C-VV,C-NN,C-NN,C-LC,C-LC,S-PN,C-AD,C-AD,C-VA,C-VA,C-DEC,C-NN,C-NN
希,望,你,能,改,过,来,把,你,的,习,惯	C-VV,C-VV,C-PN,C-VV,D-VV,C-VV,C-VV,C-BA,C-PN,C-DEG,C-NN,C-NN
我,一,点,儿,中,文,都,不,会,说	C-PN,S-AD,C-AD,C-AD,C-NN,C-NN,C-AD,C-AD,C-VV,C-VV
我,不,知,道,你,为,什,么,会,每,天,回,太,晚	C-PN,C-AD,C-VV,C-VV,C-PN,C-AD,C-AD,C-AD,C-VV,C-AD,C-AD,S-VV,C-NR,C-NR
我,不,知,道,这,么,过,生,活	C-PN,C-AD,C-VV,C-VV,S-AD,C-AD,C-VV,C-NN,C-NN
我,好,像,上,了,你,的,瘾	C-PN,C-AD,C-AD,S-VV,C-AS,C-PN,C-DEG,C-NN
我,希,望,她,健,康,很,好	C-PN,C-VV,C-VV,C-PN,C-NN,C-NN,R-AD,C-VA
我,希,望,你,每,天,都,让,我,们,的,房,间,弄,干,净	C-PN,C-VV,C-VV,C-PN,C-AD,C-AD,C-AD,S-VV,C-PN,C-PN,C-DEG,C-NN,C-NN,C-VV,C-VV,C-VV
我,希,望,你,我,的,感,觉,是,一,样	C-PN,C-VV,C-VV,C-VV,M-VV,C-DEC,C-NN,C-NN,C-VC,C-VA,C-VA
我,希,望,你,能,把,改,过,来,你,的,习,惯	C-PN,C-VV,C-VV,C-PN,C-VV,C-BA,D-VV,C-VV,C-VV,C-PN,C-DEG,C-NN,C-NN
我,希,望,我,会,做,事,像,他,一,样,好	C-PN,C-VV,C-VV,C-PN,S-VV,C-VV,C-VV,C-P,C-PN,C-AD,C-AD,C-VA
我,希,望,跟,你,一,起,住,得,很,舒,服	C-PN,C-VV,C-VV,M-P,C-PN,C-CD,C-M,C-VV,C-DER,C-AD,C-VA,C-VA
我,爸,爸,工,作,得,很,努,力	C-PN,C-NN,C-NN,C-VV,C-VV,R-DER,C-AD,C-VA,C-VA
我,是,二,年,级,的,大,学,学,生	C-PN,C-VC,D-NT,C-NT,C-NT,C-DEG,C-NN,C-NN,C-NN,C-NN
我,们,已,经,跟,对,方,写,了,那,么,多,年,的,信,了	C-PN,C-PN,C-AD,C-AD,S-P,C-PN,C-PN,C-VV,C-AS,C-AD,C-AD,C-CD,C-M,C-DEG,C-NN,C-NN
我,们,才,能,相,住,长,时,间	C-PN,C-PN,C-AD,C-VV,S-AD,C-VV,C-JJ,C-NN,C-NN
我,们,的,表,演,一,定,准,备,好	C-PN,C-PN,C-DEG,C-NN,C-NN,C-AD,C-AD,M-VV,C-VV,C-VV
我,参,加,一,种,运,动,部,活	C-PN,C-VV,C-VV,C-CD,C-M,C-NN,C-NN,S-VV,C-VV
我,从,打,工,的,商,店,回,到,宿,舍,家,的,时,候	C-PN,C-P,C-VV,C-VV,C-DEC,C-NN,C-NN,C-VV,C-VV,C-NN,C-NN,R-NN,C-DEC,C-NN,C-NN
我,都,不,能,算,到,那,么,高,的,号,码	C-PN,C-AD,C-AD,C-VV,C-VV,C-VV,S-AD,C-AD,C-VA,C-DEC,C-NN,C-NN
我,想,这,个,经,验,想,个,不,停	C-PN,C-VV,S-DT,C-DT,C-NN,C-NN,C-VV,C-DER,C-AD,C-VV
我,想,应,该,让,你,认,为,好,玩	C-PN,C-VV,C-VV,C-VV,C-VV,C-PN,S-VV,C-VV,C-VA,C-VA
我,担,心,门,关,不,关,上	C-PN,C-VV,C-VV,C-NN,S-VV,C-AD,C-VV,C-VV
把,我,紧,张,得,睡,不,著	R-BA,C-PN,C-VA,C-VA,C-DER,C-VV,C-NN,C-NN
这,封,信,写,给,你,之,前	D-DT,C-M,C-NN,C-VV,C-VV,C-PN,C-AD,C-AD
把,脏,衣,服,乱,丢,随,便	C-BA,C-VA,C-NN,C-NN,D-AD,C-VV,C-VA,C-VA
每,一,个,人,都,需,要,有,一,些,好,朋,友,被,帮,他,们,过,人,生,的,路	C-CD,C-CD,C-CD,C-NN,C-AD,C-VV,C-VV,C-VE,C-CD,C-CD,C-JJ,C-NN,C-NN,R-SB,C-VV,C-PN,C-PN,C-VV,C-NN,C-VV,C-DEC,C-NN
幸,亏,我,朋,友,叫,我,骂,不,下,去	C-AD,C-AD,C-PN,C-NN,C-NN,C-VV,C-PN,S-VV,C-AD,C-VV,C-VV
所,以,他,们,决,定,这,家,餐,厅,搬,到,他,们,的,房,子	C-AD,C-AD,C-PN,C-PN,C-VV,C-VV,M-DT,C-DT,C-NN,C-NN,C-VV,C-VV,C-PN,C-PN,C-DEG,C-NN,C-NN
所,以,我,们,没,有,准,备,够	C-AD,C-AD,C-PN,C-PN,S-AD,C-AD,C-VV,C-VV,C-VA
所,以,我,们,很,麻,烦,照,顾,起,来	C-AD,C-AD,C-PN,C-PN,D-AD,C-VV,C-VV,C-VV,C-VV,C-VV,C-VV
所,以,我,妈,妈,开,车,很,远,特,别,来,接,我	C-AD,C-AD,C-PN,C-NN,C-NN,S-VV,C-VV,C-AD,C-AD,C-AD,C-AD,C-VV,C-VV,C-PN
所,以,我,应,该,准,备,很,多	C-AD,C-AD,C-PN,C-VV,C-VV,S-VV,C-VV,C-AD,C-VA
于,是,我,们,才,被,赠,送,新,生,活	C-AD,C-AD,C-PN,C-PN,C-AD,S-SB,C-VV,C-VV,C-JJ,C-NN,C-NN
朋,友,真,的,帮,助,我,的,生,活,很,大	C-NN,C-NN,C-AD,C-DEV,C-VV,C-VV,C-PN,C-DEG,C-NN,C-NN,C-AD,S-VA
为,了,容,易,一,点,认,出,自,己	C-P,C-P,C-VA,C-VA,S-AD,C-AD,C-VV,C-VV,C-PN,C-PN
哪,个,时,候,对,你,方,便,呢	S-DT,C-DT,C-NN,C-NN,C-P,C-NN,C-NN,C-AD,C-SP
从,半,夜,你,开,始,写,功,课,时,不,但,开,天,花,板,上,所,有,的,灯,都,开,著	C-P,C-NT,C-NT,C-PN,C-VV,C-VV,C-VV,C-NN,C-NN,C-LC,C-AD,C-AD,S-VV,C-NN,C-NN,C-NN,C-LC,C-DT,C-DT,C-DEG,C-NN,C-AD,C-VV,C-VV
从,我,照,顾,到,大	S-P,C-PN,C-VV,C-VV,C-VV,C-VA
这,可,能,只,是,你,习,惯,上,的,用,途	C-PN,C-AD,C-AD,C-AD,C-VC,C-PN,C-NN,C-NN,C-LC,C-DEG,S-NN,C-NN
这,个,钱,比,较,负,担,重	C-DT,C-DT,C-NN,D-AD,C-AD,C-VV,C-VV,C-VA
这,样,的,行,动,是,最,好,的,对,她,表,达,感,谢	C-PN,C-PN,C-DEG,C-NN,C-NN,C-VC,D-AD,C-VA,C-DEC,C-P,C-PN,C-VV,C-VV,C-VV,C-VV
我,期,待,得,不,睡,觉	C-PN,C-VV,C-VV,C-DER,S-AD,C-VV,C-VV
然,后,帮,她,带,路,走,哪,条,路,可,以,上,课	C-AD,C-AD,S-P,C-PN,C-VV,C-VV,C-VV,C-DT,C-M,C-NN,C-VV,C-VV,C-VV,C-VV
给,她,感,觉,她,教,的,事,都,没,忘,掉	S-P,C-PN,C-VV,C-VV,C-PN,C-VV,C-DEC,C-NN,C-AD,C-AD,C-VV,C-VV
对,我,的,心,情,真,的,很,好	R-P,C-PN,C-DEG,C-NN,C-NN,C-VA,C-DER,C-AD,C-VA
写,下,来,一,些,我,们,的,回,然,后,送,给,他	C-VV,C-VV,C-VV,C-CD,C-CD,C-PN,C-PN,C-DEG,C-NN,M-AD,C-AD,C-VV,C-VV,C-PN
虽,然,一,只,小,猫,看,不,起,是,什,么	C-CS,C-CS,C-CD,C-M,C-NN,C-NN,S-VV,C-AD,C-VV,C-VC,C-PN,C-PN
也,好,像,是,一,般,人,一,样,的	C-AD,C-AD,C-P,C-VC,C-JJ,C-JJ,C-NN,C-VA,C-VA,R-SP
那,个,时,候,就,是,我,第,一,次,跟,身,体,障,碍,者,接,触	C-DT,C-DT,C-NN,C-NN,S-AD,C-AD,C-PN,C-OD,C-OD,C-M,C-P,C-NN,C-NN,C-VV,C-VV,C-NN,C-VV,C-VV
其,实,只,有,好,朋,友,能,告,诉,你,抽,烟,就,是,相,反,的,事,情	C-AD,C-AD,C-AD,C-VE,C-JJ,C-NN,C-NN,C-VV,C-VV,C-VV,C-PN,C-VV,C-VV,S-AD,C-VC,C-JJ,C-JJ,C-DEG,C-NN,C-NN
这,本,书,里,面,有,用,越,南,语,解,释,的	C-DT,C-M,C-NN,C-NN,C-NN,S-JJ,C-JJ,C-NN,C-NN,C-NN,C-VV,C-VV,C-SP
就,是,因,为,我,要,关,心,你	S-AD,C-VC,C-P,C-P,C-PN,C-VV,C-VV,C-VV,C-PN
如,果,方,便,的,话,我,也,可,以,一,起,吃,晚,餐	C-CS,C-CS,C-VA,C-VA,C-DEC,C-NN,S-PN,C-AD,C-VV,C-VV,C-CD,C-M,C-VV,C-NN,C-NN
但,是,那,两,个,东,西,是,每,一,个,妈,妈,都,会,做,的,事	C-AD,C-AD,C-DT,C-CD,S-M,C-NN,C-NN,C-VC,C-DT,C-CD,C-CD,C-NN,C-NN,C-AD,C-VV,C-VV,C-DEC,C-NN
你,觉,得,你,最,好,坐,火,车,来,台,北,车,站	S-PN,C-VV,C-VV,C-PN,C-AD,C-AD,C-VV,C-NN,C-NN,C-VV,C-NR,C-NR,C-NN,C-NN
